building,Address,year,sqFt
200_Division_Street_Building,200 Division St.,1948.0,21147.0
212_East_2nd_St.,212 East 2nd St.,1947.0,3276.0
216_College_St._(Reynolds),216 College St. S.,1894.0,4017.0
Alumni_Guest_House/Johnson_House,100 College St. S. (AGH) & 308 1st St. E. (Johnson House),1992.0,20337.0
Arboretum_Office,710 Three Oaks Drive,1989.0,2952.0
Bird_House,400 1st St. E.,1920.0,4780.0
Boliou_Memorial_Art_Bldg.,505 Goodsell Circle (1st Fl.) & 510 Lyman Dr. (Ground Fl.),1950.0,30547.0
Center_for_Mathematics_&_Computing,509 Goodsell Circle,1993.0,42300.0
Facilities_Building/_Steam_Plant,301 Union St. N. (Facilities Building) & 300 Division St. N. (Steam Plant),1910.0,33104.0
Goodsell_Observatory,301 Goodsell Circle,1888.0,11981.0
Gould_Memorial_Library,405 Gould Lane,1956.0,111220.0
Henry_House,107 Union St. S.,1915.0,3e3
Hoppin_House_(Alumni),420 1st St. E.,1885.0,3379.0
Laird_Hall,301 Winona St. N. (1st-3rd Fl.) & 510 Goodsell Circle (Basement),1906.0,22625.0
Language_&_Dining_Center,206 Maple St. N.,2001.0,64e3
Leighton_Hall,302 College St. N. (2nd-4th Fl.) & 308 College St. N. (1st Fl.),1920.0,37641.0
Mudd_Hall_of_Science,200 Nevada St. N.,1975.0,56522.0
Music_and_Drama_Center,109 Nevada St. N. (Arena Theater) &  110 Winona St. N. (Concert Hall),1971.0,49978.0
Music_Hall,214 Winona St. N.,1915.0,16515.0
Olin_Hall_of_Science,215 Goodsell Circle,1961.0,54899.0
Sayles-Hill,209 College St. N.,1910.0,44875.0
Scoville_Hall,105 College St. N.,1897.0,14368.0
Strong_House,118 College St. S.,1900.0,4566.0
Weitz_Center_for_Creativity,320 3rd St. E. ,2011.0,135e3
Willis_Memorial_Hall,201 College St. N.,1873.0,NA
